
	Position			X			Y			Z			Units
	WC_wire0_phys126_pos		-1192.152129		-104.2997964		0.0002296		mm
	WC_wire0_phys127_pos		-1114.152199		-97.47568682		0.0002265		mm
	WC_wire0_phys128_pos		-1036.152269		-90.65157719		0.0002233		mm
	WC_wire0_phys129_pos		-958.1523387		-83.82746757		0.0002202		mm
	WC_wire0_phys130_pos		-880.1524088		-77.00335794		0.0002171		mm
	WC_wire0_phys131_pos		-802.1524788		-70.17924832		0.0002139		mm
	WC_wire0_phys132_pos		-724.1525487		-63.35513867		0.0002108		mm
	WC_wire0_phys133_pos		-646.1526188		-56.53102905		0.0002076		mm
	WC_wire0_phys134_pos		-568.1526889		-49.70691943		0.0002045		mm
	WC_wire0_phys135_pos		-490.152759		-42.88280981		0.0002013		mm
	WC_wire0_phys136_pos		-412.152829		-36.05870018		0.0001982		mm
	WC_wire0_phys137_pos		-334.1528991		-29.23459056		0.0001951		mm
	WC_wire0_phys138_pos		-256.1529692		-22.41048093		0.0001919		mm
	WC_wire0_phys139_pos		-178.1530392		-15.5863713		0.0001888		mm
	WC_wire0_phys140_pos		-100.1531093		-8.762261679		0.0001856		mm
	WC_wire0_phys141_pos		-22.15317935		-1.938152054		0.0001825		mm
	WC_wire0_phys142_pos		55.84675059		4.885957572		0.0001793		mm
	WC_wire0_phys143_pos		133.8466804		11.71006719		0.0001762		mm
	WC_wire0_phys144_pos		211.8466104		18.53417682		0.0001731		mm
	WC_wire0_phys145_pos		289.8465403		25.35828644		0.0001699		mm
	WC_wire0_phys146_pos		367.8464703		32.18239607		0.0001668		mm
	WC_wire0_phys147_pos		445.8464002		39.00650569		0.0001636		mm
	WC_wire0_phys148_pos		523.8463301		45.83061532		0.0001605		mm
	WC_wire0_phys149_pos		601.8462601		52.65472494		0.0001573		mm
	WC_wire0_phys150_pos		679.84619		59.47883457		0.0001542		mm
	WC_wire0_phys151_pos		757.8461198		66.30294418		0.000151		mm
	WC_wire0_phys152_pos		835.8460498		73.12705381		0.0001479		mm
	WC_wire0_phys153_pos		913.8459797		79.95116343		0.0001448		mm
	WC_wire0_phys154_pos		991.8459097		86.77527306		0.0001416		mm
	WC_wire0_phys155_pos		1069.84584		93.59938269		0.0001385		mm
	WC_wire0_phys156_pos		1147.84577		100.4234923		0.0001353		mm
	WC_wire0_phys157_pos		1225.845699		107.2476019		0.0001322		mm
	WC_wire0_phys158_pos		1303.84563		114.0717116		0.000129		mm
	WC_wire1_phys0_pos		-670.5412199		58.66475517		-0.0001763		mm
	WC_wire1_phys1_pos		-592.5409843		51.8406188		-0.0001676		mm
	WC_wire1_phys2_pos		-514.5407486		45.01648242		-0.0001589		mm
	WC_wire1_phys3_pos		-436.5405129		38.19234605		-0.0001502		mm
	WC_wire1_phys4_pos		-358.5402773		31.36820968		-0.0001416		mm
	WC_wire1_phys5_pos		-280.5400416		24.54407331		-0.0001329		mm
	WC_wire1_phys6_pos		-202.539806		17.71993693		-0.0001242		mm
	WC_wire1_phys7_pos		-124.5395703		10.89580057		-0.0001155		mm
	WC_wire1_phys8_pos		-46.53933467		4.071664191		-0.0001068		mm
	WC_wire1_phys9_pos		31.460901		-2.752472182		-9.81E-05		mm
	WC_wire1_phys10_pos		109.4611367		-9.576608556		-8.94E-05		mm
	WC_wire1_phys11_pos		187.4613723		-16.40074493		-8.07E-05		mm
	WC_wire1_phys12_pos		265.461608		-23.2248813		-7.2E-05		mm
	WC_wire1_phys13_pos		343.4618437		-30.04901768		-6.33E-05		mm
	WC_wire1_phys14_pos		421.4620793		-36.87315404		-5.46E-05		mm
	WC_wire1_phys15_pos		499.4623149		-43.69729041		-4.59E-05		mm
	WC_wire1_phys16_pos		577.4625506		-50.52142679		-3.72E-05		mm
	WC_wire1_phys17_pos		655.4627863		-57.34556316		-2.86E-05		mm
	WC_wire1_phys18_pos		-715.2446843		-62.57580153		0.0001009		mm
	WC_wire1_phys19_pos		-637.2444679		-55.75166683		9.69E-05		mm
	WC_wire1_phys20_pos		-559.2442515		-48.92753215		9.28E-05		mm
	WC_wire1_phys21_pos		-481.2440352		-42.10339747		8.88E-05		mm
	WC_wire1_phys22_pos		-403.2438188		-35.27926278		8.48E-05		mm
	WC_wire1_phys23_pos		-325.2436024		-28.45512809		8.08E-05		mm
	WC_wire1_phys24_pos		-247.243386		-21.63099341		7.68E-05		mm
	WC_wire1_phys25_pos		-169.2431696		-14.80685872		7.27E-05		mm
	WC_wire1_phys26_pos		-91.24295327		-7.982724038		6.87E-05		mm
	WC_wire1_phys27_pos		-13.24273683		-1.158589346		6.47E-05		mm
	WC_wire1_phys28_pos		64.75747952		5.665545336		6.07E-05		mm
	WC_wire1_phys29_pos		142.7576959		12.48968002		5.67E-05		mm
	WC_wire1_phys30_pos		220.7579123		19.31381471		5.27E-05		mm
	WC_wire1_phys31_pos		298.7581287		26.13794939		4.86E-05		mm
	WC_wire1_phys32_pos		376.758345		32.96208408		4.46E-05		mm
	WC_wire1_phys33_pos		454.7585614		39.78621877		4.06E-05		mm
	WC_wire1_phys34_pos		532.7587778		46.61035345		3.66E-05		mm
	WC_wire1_phys35_pos		610.7589941		53.43448813		3.26E-05		mm
	WC_wire1_phys36_pos		688.7592106		60.25862282		2.85E-05		mm
	WC_wire1_phys37_pos		-982.4534811		85.95354203		0.000369056		mm
	WC_wire1_phys38_pos		-904.4533626		79.12941592		0.000349136		mm
	WC_wire1_phys39_pos		-826.4532441		72.30528979		0.000329206		mm
	WC_wire1_phys40_pos		-748.4531257		65.48116368		0.000309286		mm
	WC_wire1_phys41_pos		-670.4530072		58.65703755		0.000289356		mm
	WC_wire1_phys42_pos		-592.4528888		51.83291144		0.000269426		mm
	WC_wire1_phys43_pos		-514.4527702		45.00878532		0.000249506		mm
	WC_wire1_phys44_pos		-436.4526518		38.1846592		0.000229576		mm
	WC_wire1_phys45_pos		-358.4525334		31.36053308		0.000209656		mm
	WC_wire1_phys46_pos		-280.4524149		24.53640696		0.000189726		mm
	WC_wire1_phys47_pos		-202.4522965		17.71228085		0.000169796		mm
	WC_wire1_phys48_pos		-124.4521779		10.88815472		0.000149876		mm
